torque,feed
0.037,-288.000
0.037,-288.000
0.037,-288.000
0.116,-288.000
0.116,-288.000
0.190,-288.000
0.190,-288.000
0.300,-288.000
0.300,-288.000
0.275,-288.000
0.275,-288.000
0.147,-288.000
0.147,-288.000
0.013,-288.000
0.013,-288.000
0.263,-288.000
0.263,-288.000
0.293,-288.000
0.293,-288.000
0.281,-288.000
0.281,-288.000
0.422,-288.000
0.422,-288.000
0.409,-288.000
0.409,-288.000
-0.000,-288.000
-0.000,-288.000
0.153,-288.000
0.153,-288.000
0.153,-288.000
0.306,-288.000
0.306,-288.000
0.422,-288.000
0.422,-288.000
0.336,-288.000
0.336,-288.000
0.245,-288.000
0.245,-288.000
-0.030,-288.000
-0.030,-288.000
0.306,-288.000
0.306,-288.000
0.287,-288.000
0.287,-288.000
0.336,-288.000
0.336,-288.000
0.385,-288.000
0.385,-288.000
0.214,-288.000
0.214,-288.000
0.037,-288.000
0.037,-288.000
0.104,-288.000
0.104,-288.000
0.104,-288.000
0.196,-288.000
0.196,-288.000
0.251,-288.000
0.251,-288.000
0.324,-288.000
0.324,-288.000
0.159,-288.000
0.159,-288.000
0.025,-288.000
0.025,-288.000
0.318,-288.000
0.318,-288.000
0.232,-288.000
0.232,-288.000
0.330,-288.000
0.330,-288.000
0.416,-288.000
0.416,-288.000
0.385,-288.000
0.385,-288.000
0.025,-288.000
0.025,-288.000
0.025,-288.000
0.135,-288.000
0.135,-288.000
0.361,-288.000
0.361,-288.000
0.165,-288.000
0.165,-288.000
0.306,-288.000
0.306,-288.000
0.275,-288.000
0.275,-288.000
-0.073,-288.000
-0.073,-288.000
0.062,-288.000
0.062,-288.000
0.263,-288.000
0.263,-288.000
0.330,-288.000
0.330,-288.000
0.452,-288.000
0.452,-288.000
0.452,-288.000
0.269,-288.000
0.269,-288.000
0.293,-288.000
0.293,-288.000
0.055,-288.000
0.055,-288.000
0.318,-288.000
0.318,-288.000
0.263,-288.000
0.263,-288.000
0.251,-288.000
0.251,-288.000
0.220,-288.000
0.220,-288.000
-0.000,-288.000
-0.000,-288.000
0.306,-288.000
0.306,-288.000
0.129,-288.000
0.129,-288.000
0.293,-288.000
0.293,-288.000
0.477,-288.000
0.477,-288.000
0.477,-288.000
0.355,-288.000
0.355,-288.000
0.037,-288.000
0.037,-288.000
-0.048,-288.000
-0.048,-288.000
0.342,-288.000
0.342,-288.000
0.208,-288.000
0.208,-288.000
0.263,-288.000
0.263,-288.000
0.293,-288.000
0.293,-288.000
0.165,-288.000
0.165,-288.000
0.049,-288.000
0.049,-288.000
0.348,-288.000
0.348,-288.000
0.324,-288.000
0.324,-288.000
0.464,-288.000
0.464,-288.000
0.190,-288.000
0.190,-288.000
0.190,-288.000
0.269,-288.000
0.269,-288.000
0.092,-288.000
